City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,bafra,41.5678,35.9069,9.95,58,8,3.41,TR,1736390077
207,walvis bay,-22.9575,14.5053,15.53,88,100,2.06,NA,1736390079
208,canete,-37.8,-73.4,13.84,89,7,1.55,CL,1736390080
209,koper,45.5469,13.7294,13.06,93,100,2.06,SI,1736390081
210,amahai,-3.3333,128.9167,28.94,75,80,2.39,ID,1736390082
211,ola,59.5833,151.2833,-13.77,71,26,3.98,RU,1736389993
212,chania,35.5122,24.0156,25.6,87,40,0.0,GR,1736390084
213,diamantino,-14.4086,-56.4461,22.24,97,100,1.43,BR,1736390085
214,motozintla,15.3667,-92.2333,14.01,95,63,2.86,MX,1736390086
215,mathba,22.2855,89.9629,18.65,48,0,3.51,BD,1736390087
216,pechora,65.1472,57.2244,-8.87,75,100,7.26,RU,1736390088
217,amga,60.8953,131.9608,-31.47,98,100,0.55,RU,1736390090
218,mili,6.0815,171.735,27.59,78,97,9.88,MH,1736390091
219,bismarck,46.8083,-100.7837,-0.75,76,0,4.12,US,1736390093
220,srandakan,-7.9386,110.2506,28.62,71,100,0.3,ID,1736390095
221,carnarvon,-24.8667,113.6333,29.03,44,0,8.73,AU,1736390096
222,ust-nera,64.5667,143.2,-32.63,97,63,1.22,RU,1736389935
223,mana,5.6592,-53.7767,25.35,72,48,3.57,GF,1736390099
224,progreso,21.2833,-89.6667,22.26,65,89,6.21,MX,1736390100
225,hamilton,39.1834,-84.5333,-7.46,83,20,2.57,US,1736389941
226,brotas,-22.2842,-48.1267,19.94,90,8,3.36,BR,1736390102
227,airdrie,55.866,-3.9803,-5.12,92,37,1.46,GB,1736390103
228,cabo san lucas,22.8909,-109.9124,20.98,55,75,5.14,MX,1736389872
229,alice springs,-23.7,133.8833,37.75,19,20,4.12,AU,1736390106
230,matoury,4.8483,-52.3317,25.98,78,20,3.09,GF,1736390107
231,fumel,44.4986,0.9651,12.16,71,100,6.06,FR,1736390108
232,acarau,-2.8856,-40.12,26.01,85,70,3.92,BR,1736390109
233,slave lake,55.2834,-114.769,0.99,64,0,6.17,CA,1736390111
